,Checking Account,Savings Account,Sex,Property,Duration,Credit Amount,Age,Loan
0,1,0,1,1,6,1169,67,1
1,2,1,0,1,48,5951,22,0
2,0,1,1,1,12,2096,49,1
3,1,1,1,2,42,7882,45,1
4,1,1,1,0,24,4870,53,0
5,0,0,1,0,36,9055,35,1
6,0,3,1,2,24,2835,53,1
7,2,1,1,3,36,6948,35,1
8,0,4,1,1,12,3059,61,1
9,2,1,1,3,30,5234,28,0
10,2,1,0,3,12,1295,25,0
11,1,1,0,2,48,4308,24,0
12,2,1,0,3,12,1567,22,1
13,1,1,1,3,24,1199,60,0
14,1,1,0,3,15,1403,28,1
15,1,2,0,3,24,1282,32,0
16,0,0,1,2,24,2424,53,1
17,1,0,1,3,30,8072,25,1
18,2,1,0,0,24,12579,44,0
19,0,3,1,3,24,3430,31,1
20,0,1,1,3,9,2134,48,1
21,1,3,1,1,6,2647,44,1
22,1,1,1,1,10,2241,48,1
23,2,2,1,2,12,1804,44,1
24,0,0,1,3,10,2069,26,1
25,1,1,1,1,6,1374,36,1
26,0,1,1,3,6,426,39,1
27,3,4,0,1,12,409,42,1
28,2,1,1,1,7,2415,34,1
29,1,1,1,0,60,6836,63,0
30,2,4,1,1,18,1913,36,1
31,1,1,1,3,24,4020,27,1
32,2,2,1,3,18,5866,30,1
33,0,0,1,0,12,1264,57,1
34,3,1,0,2,12,1474,33,1
35,2,1,1,2,45,4746,25,0
36,0,1,1,0,48,6110,31,1
37,3,1,1,1,18,2100,37,0
38,3,1,1,3,10,1225,37,1
39,2,1,1,1,9,458,24,1
40,0,3,1,3,30,2333,30,1
41,2,3,1,3,12,1158,26,1
42,2,1,1,1,18,6204,44,1
43,1,2,1,3,30,6187,24,1
44,1,1,0,0,48,6143,58,0
45,0,1,0,3,11,1393,35,1
46,0,3,1,3,36,2299,39,1
47,1,3,0,2,6,1352,23,1
48,0,1,1,2,11,7228,39,1
49,0,2,0,1,12,2073,28,1
50,2,0,1,2,24,2333,29,1
51,2,1,1,3,27,5965,30,1
52,0,1,1,3,12,1262,25,1
53,0,0,1,2,18,3378,31,1
54,2,1,1,0,36,2225,57,0
55,0,0,1,1,6,783,26,1
56,2,0,1,0,12,6468,52,0
57,0,1,0,3,36,9566,31,1
58,3,1,0,3,18,1961,23,1
59,1,1,0,0,36,6229,23,0
60,2,1,1,1,9,1391,27,1
61,2,0,1,1,15,1537,50,1
62,2,1,1,0,36,1953,61,0
63,2,1,1,3,48,14421,25,0
64,0,1,0,2,24,3181,26,1
65,0,0,1,2,27,5190,48,1
66,0,1,0,3,12,2171,29,1
67,2,4,1,1,12,1007,22,1
68,0,1,1,0,36,1819,37,0
69,0,0,0,3,36,2394,25,1
70,0,1,0,2,36,8133,30,1
71,0,0,1,2,7,730,46,1
72,1,1,1,0,8,1164,51,1
73,2,1,0,1,42,5954,41,1
74,1,0,1,0,36,1977,40,0
75,1,1,1,0,12,1526,66,1
76,1,1,1,3,42,3965,34,0
77,2,1,1,2,11,4771,51,1
78,0,0,1,2,54,9436,39,1
79,2,1,1,2,30,3832,22,1
80,0,0,0,3,24,5943,44,0
81,0,3,1,2,15,1213,47,1
82,0,2,0,2,18,1568,24,1
83,1,1,0,1,24,1755,58,1
84,1,1,1,1,10,2315,52,1
85,0,1,0,1,12,1412,29,1
